assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path
GCF_000908275.1	PRJNA485481	na	na	na	na	ICTV species exemplar	536444	2955859	Cyanophage P-RSM1	strain=P-RSM1	na	latest	Complete Genome	Major	Full	2013/04/19	ViralProj198436		GCA_000908275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/908/275/GCF_000908275.1_ViralProj198436
GCF_000907775.1	PRJNA485481	na	na	na	na	ICTV species exemplar	536453	2845938	Prochlorococcus phage P-SSM3	strain=P-SSM3	na	latest	Complete Genome	Major	Full	2013/06/21	ViralProj209210		GCA_000907775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/775/GCF_000907775.1_ViralProj209210
GCF_000905555.1	PRJNA485481	na	na	na	na	ICTV species exemplar	536466	2955958	Synechococcus phage S-SSM4	strain=S-SSM4	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195515		GCA_000905555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/555/GCF_000905555.1_ViralProj195515
GCF_000907215.1	PRJNA485481	na	na	na	na	ICTV species exemplar	536474	2734114	Synechococcus phage Syn30	strain=Syn30	na	latest	Complete Genome	Major	Full	2013/04/19	ViralProj198437		GCA_000907215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/215/GCF_000907215.1_ViralProj198437
GCF_000927175.1	PRJNA485481	na	na	na	na	ICTV species exemplar	537009	2843747	Stygiolobus rod-shaped virus	na	na	latest	Complete Genome	Major	Full	2014/10/27	ViralProj264938		GCA_000927175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/927/175/GCF_000927175.1_ViralProj264938
GCF_000882235.1	PRJNA485481	na	na	na	na	na	541865	541865	Clostridium phage phiCP39-O	na	na	latest	Complete Genome	Major	Full	2008/10/02	ViralProj32103		GCA_000882235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/882/235/GCF_000882235.1_ViralProj32103
GCF_000881515.1	PRJNA485481	na	na	na	na	na	546803	2006134	Mycobacterium phage Cali	na	na	latest	Complete Genome	Major	Full	2008/09/18	ViralProj31291		GCA_000881515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/881/515/GCF_000881515.1_ViralProj31291
GCF_000880475.1	PRJNA485481	na	na	na	na	ICTV species exemplar	546805	2956212	Mycobacterium phage Myrna	na	na	latest	Complete Genome	Major	Full	2008/09/17	ViralProj31279		GCA_000880475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/880/475/GCF_000880475.1_ViralProj31279
GCF_000881495.1	PRJNA485481	na	na	na	na	na	546806	2006134	Mycobacterium phage Rizal	na	na	latest	Complete Genome	Major	Full	2008/09/17	ViralProj31281		GCA_000881495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/881/495/GCF_000881495.1_ViralProj31281
GCF_000883055.2	PRJNA485481	na	na	na	na	na	546807	2006134	Mycobacterium phage ScottMcG	na	na	latest	Complete Genome	Major	Full	2018/03/21	ViralProj31283		GCA_000883055.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/883/055/GCF_000883055.2_ViralProj31283
GCF_000880555.1	PRJNA485481	na	na	na	na	na	546808	2006134	Mycobacterium phage Spud	na	na	latest	Complete Genome	Major	Full	2008/09/17	ViralProj31285		GCA_000880555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/880/555/GCF_000880555.1_ViralProj31285
GCF_000886695.1	PRJNA485481	na	na	na	na	ICTV species exemplar	555387	2955947	Synechococcus phage S-RSM4	na	na	latest	Complete Genome	Major	Full	2009/08/13	ViralProj39923		GCA_000886695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/695/GCF_000886695.1_ViralProj39923
GCF_000885975.1	PRJNA485481	SAMEA3283090	na	na	na	na	642926	642926	Ostreococcus tauri virus 1	strain=1	na	latest	Complete Genome	Major	Full	2009/10/07	ViralProj40907		GCA_000885975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/975/GCF_000885975.1_ViralProj40907
GCF_000885095.1	PRJNA485481	na	na	na	na	na	658401	658401	Cyanophage PSS2	na	PSS2	latest	Complete Genome	Major	Full	2009/07/27	ViralProj39613		GCA_000885095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/095/GCF_000885095.1_ViralProj39613
GCF_000885515.1	PRJNA485481	na	na	na	na	na	663554	2006134	Mycobacterium phage ET08	na	na	latest	Complete Genome	Major	Full	2009/12/18	ViralProj42783		GCA_000885515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/515/GCF_000885515.1_ViralProj42783
GCF_000903475.1	PRJNA485481	na	na	na	na	na	673376	673376	Clostridium phage phiCP26F	strain=CP26F	na	latest	Complete Genome	Major	Full	2012/11/21	ViralProj181251		GCA_000903475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/475/GCF_000903475.1_ViralProj181251
GCF_000887075.1	PRJNA485481	na	na	na	na	ICTV species exemplar	686439	2560387	Clavibacter phage CMP1	na	na	latest	Complete Genome	Major	Full	2009/12/30	ViralProj42947		GCA_000887075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/075/GCF_000887075.1_ViralProj42947
GCF_001754245.1	PRJNA485481	na	na	na	na	ICTV species exemplar	687803	2734122	Cyanophage S-RIM50	na	RW_29_0704	latest	Complete Genome	Major	Full	2016/09/27	ViralProj344601		GCA_001754245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/754/245/GCF_001754245.1_ViralProj344601
GCF_000920215.1	PRJNA485481	na	na	na	na	ICTV species exemplar	691964	1982369	Rhodococcus phage ReqiPoco6	na	na	latest	Complete Genome	Major	Full	2014/03/11	ViralProj240751		GCA_000920215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/920/215/GCF_000920215.1_ViralProj240751
GCF_000918715.1	PRJNA485481	na	na	na	na	ICTV species exemplar	691965	1982368	Rhodococcus phage ReqiPepy6	na	na	latest	Complete Genome	Major	Full	2014/03/11	ViralProj240750		GCA_000918715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/918/715/GCF_000918715.1_ViralProj240750
GCF_000887855.1	PRJNA485481	na	na	na	na	na	696472	696472	Ostreococcus tauri virus 2	na	na	latest	Complete Genome	Major	Full	2010/12/10	ViralProj61087		GCA_000887855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/855/GCF_000887855.1_ViralProj61087
GCF_000891315.1	PRJNA485481	na	na	na	na	na	699370	699370	Thermus phage TMA	strain=TMA	na	latest	Complete Genome	Major	Full	2011/08/19	ViralProj72385		GCA_000891315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/891/315/GCF_000891315.1_ViralProj72385
GCF_000891995.1	PRJNA485481	na	na	na	na	na	753084	753084	Synechococcus phage S-CBS2	strain=S-CBS2	na	latest	Complete Genome	Major	Full	2011/04/28	ViralProj66393		GCA_000891995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/891/995/GCF_000891995.1_ViralProj66393
GCF_000906915.1	PRJNA485481	na	na	na	na	ICTV species exemplar	754037	2734083	Synechococcus phage S-CAM1	strain=S-CAM1	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195484		GCA_000906915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/915/GCF_000906915.1_ViralProj195484
GCF_000907715.1	PRJNA485481	na	na	na	na	ICTV species exemplar	754038	2956221	Synechococcus phage S-CAM8	strain=S-CAM8 06008BI06	na	latest	Complete Genome	Major	Full	2013/06/20	ViralProj209065		GCA_000907715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/715/GCF_000907715.1_ViralProj209065
GCF_000908735.1	PRJNA485481	na	na	na	na	ICTV species exemplar	754039	2734147	Synechococcus phage S-IOM18	strain=S-IOM18	na	latest	Complete Genome	Major	Full	2013/06/20	ViralProj209067		GCA_000908735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/908/735/GCF_000908735.1_ViralProj209067
GCF_000906055.1	PRJNA485481	na	na	na	na	ICTV species exemplar	754040	2733955	Synechococcus phage S-RIP2	na	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195486		GCA_000906055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/055/GCF_000906055.1_ViralProj195486
GCF_000904455.1	PRJNA485481	na	na	na	na	ICTV species exemplar	754042	2734116	Synechococcus phage S-SKS1	na	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195489		GCA_000904455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/455/GCF_000904455.1_ViralProj195489
GCF_000906875.1	PRJNA485481	na	na	na	na	ICTV species exemplar	754044	2955537	Loktanella phage pCB2051-A	strain=pCB2051-A	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195476		GCA_000906875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/875/GCF_000906875.1_ViralProj195476
GCF_000905995.1	PRJNA485481	na	na	na	na	ICTV species exemplar	754046	2846415	Sulfitobacter phage phiCB2047-B	strain=phiCB2047-B	na	latest	Complete Genome	Major	Full	2014/03/06	ViralProj195474		GCA_000905995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/995/GCF_000905995.1_ViralProj195474
GCF_000906015.1	PRJNA485481	na	na	na	na	ICTV species exemplar	754052	2845952	Pseudoalteromonas phage pYD6-A	strain=pYD6-A	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195478		GCA_000906015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/015/GCF_000906015.1_ViralProj195478
GCF_000929555.1	PRJNA485481	na	na	na	na	na	754059	2733949	Synechococcus phage S-CBP4	na	na	latest	Complete Genome	Major	Full	2014/11/10	ViralProj266792		GCA_000929555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/929/555/GCF_000929555.1_ViralProj266792
GCF_004800935.1	PRJNA485481	na	na	na	na	ICTV species exemplar	754059	2733949	Synechococcus phage S-CBP4	strain=S-CBP4	na	latest	Complete Genome	Major	Full	2020/05/15	ASM480093v1		GCA_004800935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/800/935/GCF_004800935.1_ASM480093v1
GCF_000905435.1	PRJNA485481	na	na	na	na	na	754064	754064	Ostreococcus lucimarinus virus OlV5	strain=OlV5	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195483		GCA_000905435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/435/GCF_000905435.1_ViralProj195483
GCF_000906955.1	PRJNA485481	na	na	na	na	na	754072	2846606	Vibrio phage VBP32	strain=VBP32	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195492		GCA_000906955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/955/GCF_000906955.1_ViralProj195492
GCF_000904475.1	PRJNA485481	na	na	na	na	ICTV species exemplar	754073	2846606	Vibrio phage VBP47	strain=VBP47	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195493		GCA_000904475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/475/GCF_000904475.1_ViralProj195493
GCF_000905495.1	PRJNA485481	na	na	na	na	na	754075	754075	Vibrio phage 11895-B1	strain=11895-B1	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195495		GCA_000905495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/495/GCF_000905495.1_ViralProj195495
GCF_000906035.1	PRJNA485481	na	na	na	na	na	755272	755272	Micromonas pusilla virus 12T	strain=12T	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195482		GCA_000906035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/035/GCF_000906035.1_ViralProj195482
GCF_000896775.1	PRJNA485481	na	na	na	na	na	756275	756275	Synechococcus phage S-CBS4	na	na	latest	Complete Genome	Major	Full	2012/02/02	ViralProj82651		GCA_000896775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/896/775/GCF_000896775.1_ViralProj82651
GCF_000925935.1	PRJNA485481	na	na	na	na	na	756276	2733931	Synechococcus phage S-CBP3	na	na	latest	Complete Genome	Major	Full	2014/11/10	ViralProj266791		GCA_000925935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/925/935/GCF_000925935.1_ViralProj266791
GCF_004875685.1	PRJNA485481	na	na	na	na	ICTV species exemplar	756276	2733931	Synechococcus phage S-CBP3	strain=S-CBP3	na	latest	Chromosome	Major	Full	2020/05/15	ASM487568v1		GCA_004875685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/875/685/GCF_004875685.1_ASM487568v1
GCF_002598325.1	PRJNA485481	na	na	na	na	ICTV species exemplar	756278	2734121	Synechococcus phage S-RIM8	na	RW_22_0300	latest	Complete Genome	Major	Full	2020/05/15	ASM259832v1		GCA_002598325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/598/325/GCF_002598325.1_ASM259832v1
GCF_000906935.1	PRJNA485481	na	na	na	na	ICTV species exemplar	869662	2734125	Synechococcus phage S-RIM2 R1_1999	strain=RIM2_R1_999	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195488		GCA_000906935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/935/GCF_000906935.1_ViralProj195488
GCF_000904235.1	PRJNA485481	na	na	na	na	na	869724	2734121	Synechococcus phage S-RIM8 A.HR1	strain=S-RIM8 A.HR1	na	latest	Complete Genome	Major	Full	2013/03/12	ViralProj192853		GCA_000904235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/235/GCF_000904235.1_ViralProj192853
GCF_000889515.1	PRJNA485481	na	na	na	na	na	880159	933845	Bathycoccus sp. RCC1105 virus BpV1	na	na	latest	Complete Genome	Major	Full	2010/12/09	ViralProj61009		GCA_000889515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/889/515/GCF_000889515.1_ViralProj61009
GCF_000890375.1	PRJNA485481	na	na	na	na	na	880161	880161	Micromonas sp. RCC1109 virus MpV1	na	na	latest	Complete Genome	Major	Full	2010/12/09	ViralProj61013		GCA_000890375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/890/375/GCF_000890375.1_ViralProj61013
GCF_000888835.1	PRJNA485481	na	na	na	na	na	880162	880162	Ostreococcus lucimarinus virus 1	na	na	latest	Complete Genome	Major	Full	2010/12/09	ViralProj61011		GCA_000888835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/835/GCF_000888835.1_ViralProj61011
GCF_000904515.1	PRJNA485481	na	na	na	na	na	889951	2733955	Cyanophage KBS-P-1A	strain=KBS-P-1A	na	latest	Complete Genome	Major	Full	2013/03/30	ViralProj195501		GCA_000904515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/515/GCF_000904515.1_ViralProj195501
